model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement
ar,exact,pre_advance,DELTA_SA,24,0.621782452530642,0.349892967798293,0.16752940509087086,1.0,1.0,0.6666666666666666,1.0,0.0,,,
bridge,exact,pre_advance,DELTA_SA,24,0.6865121827964132,0.39941849562144655,0.030975220340969934,1.104103501155947,0.5606967676011915,0.6666666666666666,1.0,0.0,,,
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,24,0.3091344361007569,0.1937374999999998,-0.07067916666666657,0.49717459031303635,0.29162866923782504,0.0,1.0,42.083333333333336,9.068097088189957e-05,9.057274226344087e-05,9.986790953864779e-05
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,24,0.6163708935382134,0.4098098592843913,0.0015072647008062083,0.991296700364567,0.9743603302000349,0.5,1.0,41.25,9.108872038125873e-05,9.263100897990409e-05,9.966203657435908e-05
midas_umidas,exact,pre_advance,DELTA_SA,24,16.056106443905286,5.446014296917849,-0.3817488226775623,25.822707570078983,0.16871293154905392,0.5833333333333334,1.0,0.0,,,
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,24,0.6552762286732907,0.33391535264584454,-0.0436951690902788,1.0538673550633821,0.9049454922029123,0.5833333333333334,1.0,34.958333333333336,9.479560253411088e-05,9.572414527079827e-05,9.992598888541152e-05
no_revision,exact,pre_advance,DELTA_SA,24,0.3091344361007569,0.1937374999999998,-0.07067916666666657,0.49717459031303635,0.29162866923782504,0.0,1.0,0.0,,,
release_dfm,exact,pre_advance,DELTA_SA,24,0.5828840492932041,0.2521569720984922,-0.05436685842810018,0.937440493730368,0.9042648631710247,0.625,1.0,0.0,,,
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,24,0.5378406389930714,0.2821779354342725,-0.0014395006659912262,0.8649980982963912,0.7452636455548238,0.5833333333333334,1.0,26.041666666666668,9.25730244880251e-05,9.237361406496094e-05,9.927088210788752e-05
standard_dfm,exact,pre_advance,DELTA_SA,24,0.5828840492932041,0.2521569720984922,-0.05436685842810018,0.937440493730368,0.9042648631710247,0.625,1.0,0.0,,,
ar,exact,pre_second,DELTA_TS,24,0.2752219898278388,0.1926339914467443,-0.024322250853355293,1.0,1.0,0.5833333333333334,1.0,0.0,,,
bridge,exact,pre_second,DELTA_TS,24,0.39456543909765646,0.3051449163529427,0.07797844034370503,1.4336261406454887,0.001943840615119554,0.5,1.0,0.0,,,
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,24,0.22793278797341424,0.16064166666666682,-0.1075833333333334,0.8281779668695599,0.290957455231766,0.0,1.0,41.958333333333336,9.117685117835803e-05,9.112957178543428e-05,9.944754438654765e-05
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,24,0.22959023285960234,0.16349913901697857,-0.10335345547677462,0.8342001778390573,0.3253567759650546,0.5,1.0,39.958333333333336,9.025356589842537e-05,9.062650967143271e-05,9.974107887334012e-05
midas_umidas,exact,pre_second,DELTA_TS,24,5.251386693244915,2.0144162104391343,-0.21716130578191054,19.080549110664613,0.16666252597443712,0.5833333333333334,1.0,0.0,,,
monthly_mixed_frequency_kalman_em,exact,pre_second,DELTA_TS,24,0.31534260578716306,0.2200015438712455,-0.06939566310417031,1.1457754737709045,0.6749580733403124,0.5833333333333334,1.0,36.625,9.494488584963462e-05,9.525990595801603e-05,9.996191109577998e-05
no_revision,exact,pre_second,DELTA_TS,24,0.22793278797341424,0.16064166666666682,-0.1075833333333334,0.8281779668695599,0.290957455231766,0.0,1.0,0.0,,,
release_dfm,exact,pre_second,DELTA_TS,24,0.22596717808889472,0.16076220340127445,-0.07129647482959142,0.8210360597648657,0.3026570010356201,0.625,1.0,0.0,,,
revision_dfm_kalman_em,exact,pre_second,DELTA_TS,24,0.22970194813602607,0.1627953916158563,-0.10549183028566067,0.8346060875430515,0.33752950517298,0.5,1.0,25.458333333333332,9.352433569651161e-05,9.397758362348682e-05,9.838554476967261e-05
standard_dfm,exact,pre_second,DELTA_TS,24,0.22555745761240412,0.16246245263290005,-0.052510899177220606,0.8195473688475924,0.336343517051739,0.625,1.0,0.0,,,
ar,exact,pre_third,DELTA_MT,24,4.584056189542174,2.0213146048710318,-0.07902520902599619,1.0,1.0,0.375,1.0,0.0,,,
bridge,exact,pre_third,DELTA_MT,24,2.3414096138344043,1.6843686394961634,-0.6793165558982138,0.5107724506466508,0.2502434009676639,0.4583333333333333,1.0,0.0,,,
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,24,1.1023165529541261,0.7735958333333333,-0.5159374999999999,0.2404675046237202,0.16529517622472395,0.0,1.0,39.125,9.207906523963674e-05,9.494680219125225e-05,9.977256301910903e-05
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,24,1.1000704271563286,0.773087504871602,-0.5141590862289528,0.23997751809106785,0.1651822615804582,0.5,1.0,39.333333333333336,9.158415747238386e-05,9.276830944941644e-05,9.991409476315024e-05
midas_umidas,exact,pre_third,DELTA_MT,24,8.75802309942492,5.087704573612623,1.8569530713162745,1.9105400844354863,0.2269481723080915,0.4166666666666667,1.0,0.0,,,
monthly_mixed_frequency_kalman_em,exact,pre_third,DELTA_MT,24,1.1148773177793003,0.7819149244432432,-0.48631673022736455,0.24320760297893448,0.16690575359741228,0.4583333333333333,1.0,34.625,9.517224455091807e-05,9.56304261449348e-05,9.999501178932916e-05
no_revision,exact,pre_third,DELTA_MT,24,1.1023165529541261,0.7735958333333333,-0.5159374999999999,0.2404675046237202,0.16529517622472395,0.0,1.0,0.0,,,
release_dfm,exact,pre_third,DELTA_MT,24,1.1076363003364371,0.7648651783427288,-0.18326547414979247,0.24162799375438299,0.1546341127254534,0.6666666666666666,1.0,0.0,,,
revision_dfm_kalman_em,exact,pre_third,DELTA_MT,24,1.1011544336278762,0.773034619994348,-0.5141089233628376,0.2402139912987961,0.1652624073550971,0.625,1.0,25.625,9.381875612988462e-05,9.416075113694231e-05,9.983072419232839e-05
standard_dfm,exact,pre_third,DELTA_MT,24,1.854303427098974,1.2217814222744827,-0.8264086744624409,0.4045114960260052,0.17392185470514632,0.4166666666666667,1.0,0.0,,,
ar,pseudo,pre_advance,DELTA_SA,24,0.621782452530642,0.349892967798293,0.16752940509087086,1.0,1.0,0.6666666666666666,1.0,0.0,,,
bridge,pseudo,pre_advance,DELTA_SA,24,0.6826656578960535,0.3982195970250985,0.03308755286344258,1.0979172138384061,0.572971846851122,0.6666666666666666,1.0,0.0,,,
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,24,0.3091344361007569,0.1937374999999998,-0.07067916666666657,0.49717459031303635,0.29162866923782504,0.0,1.0,41.583333333333336,9.0438071813464e-05,9.200805308418062e-05,9.998244553061658e-05
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,24,0.6197998340132276,0.4192371172582175,0.012540188267152835,0.9968113951924098,0.9905943217390197,0.4583333333333333,1.0,41.416666666666664,9.10998023293748e-05,9.214159515589668e-05,9.96869745214485e-05
midas_umidas,pseudo,pre_advance,DELTA_SA,24,16.204325422531806,5.491316013576554,-0.3836315626944213,26.061085121621765,0.1659430645455697,0.5833333333333334,1.0,0.0,,,
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,DELTA_SA,24,0.6546198940249426,0.3327871119831775,-0.042809985063283595,1.0528117854736054,0.9067779468441013,0.5833333333333334,1.0,33.583333333333336,9.535146905631721e-05,9.5881518023639e-05,9.994961427668047e-05
no_revision,pseudo,pre_advance,DELTA_SA,24,0.3091344361007569,0.1937374999999998,-0.07067916666666657,0.49717459031303635,0.29162866923782504,0.0,1.0,0.0,,,
release_dfm,pseudo,pre_advance,DELTA_SA,24,0.5799306871189679,0.25132988300291986,-0.053786594345306006,0.9326906617558307,0.896660553667392,0.625,1.0,0.0,,,
revision_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,24,0.5362247214032506,0.28163501606403524,-0.0010539447661220465,0.8623992510898737,0.7400019180393351,0.5833333333333334,1.0,26.0,9.306251959066106e-05,9.275432537117915e-05,9.973715234793663e-05
standard_dfm,pseudo,pre_advance,DELTA_SA,24,0.5799306871189679,0.25132988300291986,-0.053786594345306006,0.9326906617558307,0.896660553667392,0.625,1.0,0.0,,,
ar,pseudo,pre_second,DELTA_TS,24,0.2752219898278388,0.1926339914467443,-0.024322250853355293,1.0,1.0,0.5833333333333334,1.0,0.0,,,
bridge,pseudo,pre_second,DELTA_TS,24,0.39979295353260846,0.3083183130537021,0.07933884069041716,1.4526199515623488,0.001042640377506149,0.5,1.0,0.0,,,
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,24,0.22793278797341424,0.16064166666666682,-0.1075833333333334,0.8281779668695599,0.290957455231766,0.0,1.0,41.5,9.356421292728847e-05,9.440097822277967e-05,9.981290182574705e-05
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,24,0.2295858106312242,0.16350979910922758,-0.10331399754501054,0.8341841099791422,0.3256471391234793,0.5,1.0,39.958333333333336,9.101201578362762e-05,9.157531139710644e-05,9.963042316017746e-05
midas_umidas,pseudo,pre_second,DELTA_TS,24,5.2521060091811105,2.0201744593636497,-0.21666985554256454,19.083162695199213,0.16647577643375494,0.5416666666666666,1.0,0.0,,,
monthly_mixed_frequency_kalman_em,pseudo,pre_second,DELTA_TS,24,0.31066732471676445,0.21287686733479863,-0.07269897334991424,1.1287881644598892,0.7126195010782261,0.5833333333333334,1.0,35.416666666666664,9.507071860059329e-05,9.476776593675161e-05,9.989107895116457e-05
no_revision,pseudo,pre_second,DELTA_TS,24,0.22793278797341424,0.16064166666666682,-0.1075833333333334,0.8281779668695599,0.290957455231766,0.0,1.0,0.0,,,
release_dfm,pseudo,pre_second,DELTA_TS,24,0.22596399637535666,0.16075438689449,-0.0713484014713701,0.8210244992295319,0.3024374106559389,0.625,1.0,0.0,,,
revision_dfm_kalman_em,pseudo,pre_second,DELTA_TS,24,0.22968116971410896,0.1626746178293793,-0.10561997743403324,0.8345305905890105,0.3373819594439757,0.5,1.0,25.458333333333332,9.338979482872799e-05,9.388011474465151e-05,9.867737637644212e-05
standard_dfm,pseudo,pre_second,DELTA_TS,24,0.22562317433473256,0.16261647361902043,-0.052337737549815404,0.8197861459975198,0.33699608143654375,0.625,1.0,0.0,,,
ar,pseudo,pre_third,DELTA_MT,24,4.584056189542174,2.0213146048710318,-0.07902520902599619,1.0,1.0,0.375,1.0,0.0,,,
bridge,pseudo,pre_third,DELTA_MT,24,2.3449140989586805,1.6802580605263262,-0.673148291926757,0.5115369450113296,0.25064877238368805,0.4166666666666667,1.0,0.0,,,
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,24,1.1023165529541261,0.7735958333333333,-0.5159374999999999,0.2404675046237202,0.16529517622472395,0.0,1.0,39.166666666666664,9.101118369311317e-05,9.234663212650704e-05,9.96890146081208e-05
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,24,1.1000675189466456,0.7730815444263395,-0.5141513289047547,0.23997688367264824,0.1651822156905914,0.5,1.0,39.333333333333336,9.136268420296089e-05,9.226434404983322e-05,9.991436493145356e-05
midas_umidas,pseudo,pre_third,DELTA_MT,24,8.746326061272011,5.093650771374779,1.9150161712367433,1.907988405819593,0.22755797138872258,0.4166666666666667,1.0,0.0,,,
monthly_mixed_frequency_kalman_em,pseudo,pre_third,DELTA_MT,24,1.115710293287281,0.78308028198924,-0.48781413089068293,0.24338931443131176,0.16694875348118304,0.4583333333333333,1.0,36.166666666666664,9.39078389301324e-05,9.411801494758017e-05,9.985588163406801e-05
no_revision,pseudo,pre_third,DELTA_MT,24,1.1023165529541261,0.7735958333333333,-0.5159374999999999,0.2404675046237202,0.16529517622472395,0.0,1.0,0.0,,,
release_dfm,pseudo,pre_third,DELTA_MT,24,1.1075106927520855,0.7642386113086976,-0.1828793580271101,0.24160059278477047,0.15460913633663054,0.6666666666666666,1.0,0.0,,,
revision_dfm_kalman_em,pseudo,pre_third,DELTA_MT,24,1.101151937183474,0.7730307662836209,-0.5141106573083566,0.24021344670590739,0.16526230926988625,0.625,1.0,25.583333333333332,9.458281550654533e-05,9.472379129721054e-05,9.999781552267142e-05
standard_dfm,pseudo,pre_third,DELTA_MT,24,1.852956740874043,1.2209383680891452,-0.825964692254033,0.4042177199095599,0.17385134881024966,0.4166666666666667,1.0,0.0,,,
